"timeMillisSpent","score"
1869,"620hard/-20340soft"
1930,"620hard/-20260soft"
1939,"640hard/-20700soft"
2032,"660hard/-24740soft"
2036,"660hard/-24660soft"
2039,"660hard/-24540soft"
2045,"660hard/-24460soft"
2046,"660hard/-24340soft"
2048,"680hard/-25160soft"
2051,"680hard/-25000soft"
2116,"700hard/-26760soft"
2122,"720hard/-27240soft"
2177,"740hard/-29040soft"
2178,"740hard/-28880soft"
2179,"740hard/-28760soft"
2182,"760hard/-29260soft"
2183,"760hard/-29120soft"
2540,"820hard/-29640soft"
2542,"840hard/-29960soft"
2543,"840hard/-29840soft"
2544,"840hard/-29720soft"
2546,"840hard/-29600soft"
2547,"840hard/-29480soft"
2548,"840hard/-29380soft"
2558,"860hard/-29560soft"
2561,"860hard/-29140soft"
2740,"880hard/-29340soft"
2920,"900hard/-30720soft"
2931,"900hard/-30260soft"
3310,"980hard/-32480soft"
3458,"980hard/-32440soft"
3459,"980hard/-32320soft"
3501,"980hard/-31820soft"
3638,"1000hard/-33280soft"
3738,"1080hard/-32680soft"
4113,"1080hard/-29500soft"
4150,"1100hard/-33580soft"
4329,"1140hard/-30760soft"
4658,"1180hard/-35080soft"
4816,"1200hard/-36380soft"
4818,"1200hard/-36320soft"
4918,"1200hard/-34880soft"
4933,"1200hard/-34480soft"
4952,"1300hard/-34060soft"
6503,"1320hard/-34000soft"
6515,"1320hard/-32840soft"
6516,"1320hard/-32600soft"
6882,"1340hard/-34620soft"
6882,"1340hard/-34420soft"
6882,"1340hard/-34300soft"
6960,"1340hard/-34180soft"
7162,"1340hard/-33420soft"
7202,"1340hard/-33260soft"
7343,"1340hard/-33100soft"
7991,"1340hard/-32640soft"
8488,"1340hard/-32600soft"
8543,"1340hard/-32540soft"
8543,"1340hard/-32460soft"
8543,"1340hard/-32360soft"
8544,"1340hard/-32240soft"
8651,"1340hard/-32000soft"
8724,"1340hard/-31940soft"
8756,"1340hard/-31860soft"
8813,"1340hard/-31780soft"
8815,"1340hard/-31660soft"
8843,"1340hard/-31460soft"
8843,"1340hard/-31380soft"
8993,"1340hard/-31340soft"
8993,"1340hard/-31220soft"
8994,"1340hard/-31180soft"
8994,"1340hard/-31040soft"
8994,"1340hard/-31020soft"
9108,"1340hard/-31000soft"
9109,"1340hard/-30920soft"
9109,"1340hard/-30800soft"
9110,"1340hard/-30680soft"
9257,"1340hard/-30600soft"
9315,"1340hard/-30580soft"
9317,"1340hard/-30540soft"
9419,"1340hard/-30520soft"
9500,"1340hard/-30340soft"
9613,"1340hard/-30300soft"
9794,"1340hard/-30200soft"
9869,"1340hard/-30160soft"
9904,"1340hard/-30120soft"
9911,"1340hard/-30080soft"
9982,"1340hard/-30000soft"
9984,"1340hard/-29840soft"
9985,"1340hard/-29720soft"
10211,"1340hard/-29680soft"
10343,"1340hard/-29640soft"
10411,"1340hard/-29580soft"
10412,"1340hard/-29300soft"
10717,"1340hard/-29220soft"
