"timeMillisSpent","score"
1371,"620hard/-20340soft"
1395,"620hard/-20200soft"
1402,"620hard/-20120soft"
1405,"620hard/-19960soft"
1410,"620hard/-19880soft"
1412,"620hard/-19860soft"
1415,"620hard/-19740soft"
1418,"620hard/-19620soft"
1420,"620hard/-19500soft"
1421,"620hard/-19380soft"
1423,"620hard/-19260soft"
1423,"620hard/-19180soft"
1425,"640hard/-19540soft"
1427,"640hard/-19500soft"
1432,"660hard/-19760soft"
1432,"660hard/-19640soft"
1439,"660hard/-19520soft"
1440,"660hard/-19500soft"
1442,"660hard/-19420soft"
1445,"660hard/-19340soft"
1452,"680hard/-19580soft"
1453,"680hard/-19500soft"
1459,"680hard/-19420soft"
1460,"680hard/-19300soft"
1462,"680hard/-19180soft"
1466,"700hard/-19660soft"
1468,"720hard/-20020soft"
1468,"720hard/-19920soft"
1470,"720hard/-19800soft"
1477,"740hard/-20640soft"
1478,"740hard/-20520soft"
1487,"760hard/-20920soft"
1491,"760hard/-20680soft"
1497,"760hard/-20560soft"
1504,"760hard/-19980soft"
1714,"780hard/-21120soft"
1719,"780hard/-21000soft"
1728,"780hard/-20960soft"
1728,"780hard/-20880soft"
1733,"880hard/-21060soft"
1741,"900hard/-21820soft"
1742,"900hard/-21800soft"
1755,"920hard/-23060soft"
1953,"920hard/-22900soft"
1953,"920hard/-22820soft"
1957,"920hard/-22720soft"
1969,"1020hard/-22820soft"
2234,"1080hard/-22760soft"
2271,"1180hard/-23400soft"
2542,"1220hard/-23960soft"
3718,"1260hard/-24540soft"
4210,"1320hard/-22920soft"
4211,"1320hard/-22800soft"
4869,"1320hard/-22760soft"
4870,"1320hard/-22640soft"
4876,"1320hard/-22620soft"
4882,"1320hard/-22580soft"
4885,"1320hard/-22460soft"
4974,"1340hard/-24800soft"
5033,"1340hard/-24740soft"
5034,"1340hard/-24640soft"
5037,"1340hard/-24560soft"
5041,"1340hard/-24480soft"
5042,"1340hard/-24400soft"
5043,"1340hard/-24320soft"
5048,"1340hard/-24280soft"
5147,"1340hard/-24220soft"
5150,"1340hard/-24180soft"
5152,"1340hard/-24060soft"
5154,"1340hard/-23940soft"
5156,"1340hard/-23700soft"
5160,"1340hard/-23620soft"
5161,"1340hard/-23520soft"
5169,"1340hard/-23480soft"
5181,"1340hard/-23300soft"
5182,"1340hard/-23180soft"
5236,"1340hard/-23100soft"
5243,"1340hard/-23080soft"
5267,"1340hard/-23040soft"
5268,"1340hard/-22960soft"
5273,"1340hard/-22940soft"
5275,"1340hard/-22860soft"
5281,"1340hard/-22740soft"
5284,"1340hard/-22720soft"
5287,"1340hard/-22600soft"
5343,"1340hard/-22560soft"
5346,"1340hard/-22480soft"
5347,"1340hard/-22400soft"
5350,"1340hard/-22360soft"
5616,"1340hard/-22340soft"
5623,"1340hard/-22320soft"
5641,"1340hard/-22260soft"
