"timeMillisSpent","score"
1106,"620hard/-20340soft"
1179,"620hard/-20020soft"
1181,"620hard/-19900soft"
1187,"620hard/-19820soft"
1206,"620hard/-19700soft"
1212,"620hard/-19580soft"
1214,"620hard/-19500soft"
1218,"620hard/-19380soft"
1227,"620hard/-19220soft"
1231,"620hard/-19100soft"
1232,"620hard/-19060soft"
1236,"640hard/-19420soft"
1246,"640hard/-19340soft"
1251,"640hard/-19200soft"
1251,"640hard/-19180soft"
1253,"640hard/-19060soft"
1254,"640hard/-18940soft"
1259,"640hard/-18900soft"
1270,"640hard/-18780soft"
1271,"640hard/-18660soft"
1276,"640hard/-18540soft"
1283,"660hard/-18900soft"
1307,"660hard/-18780soft"
1318,"680hard/-19100soft"
1325,"680hard/-19020soft"
1352,"680hard/-18940soft"
1355,"700hard/-19180soft"
1366,"700hard/-19140soft"
1370,"700hard/-19100soft"
1372,"700hard/-19020soft"
1372,"720hard/-19380soft"
1406,"740hard/-19740soft"
1415,"760hard/-19980soft"
1419,"760hard/-19860soft"
1422,"760hard/-19740soft"
1429,"760hard/-19620soft"
1435,"760hard/-19500soft"
1436,"780hard/-19860soft"
1438,"780hard/-19820soft"
1440,"780hard/-19720soft"
1448,"800hard/-20080soft"
1449,"800hard/-20000soft"
1453,"820hard/-20240soft"
1464,"820hard/-20120soft"
1473,"820hard/-20020soft"
1476,"820hard/-19940soft"
1477,"820hard/-19820soft"
1478,"820hard/-19700soft"
1489,"820hard/-19600soft"
1490,"820hard/-19480soft"
1491,"820hard/-19360soft"
1503,"820hard/-19240soft"
1503,"820hard/-19120soft"
1505,"820hard/-19080soft"
1512,"820hard/-18980soft"
1517,"820hard/-18940soft"
1521,"820hard/-18820soft"
1522,"840hard/-19180soft"
1525,"840hard/-19020soft"
1528,"860hard/-19380soft"
1546,"860hard/-19340soft"
1549,"860hard/-19260soft"
1551,"860hard/-19220soft"
1551,"860hard/-19080soft"
1553,"880hard/-19440soft"
1554,"880hard/-19360soft"
1554,"880hard/-19240soft"
1565,"900hard/-19600soft"
1574,"900hard/-19480soft"
1577,"900hard/-19360soft"
1593,"900hard/-19340soft"
1594,"900hard/-19300soft"
1601,"920hard/-19820soft"
1604,"920hard/-19740soft"
1606,"920hard/-19660soft"
1608,"920hard/-19580soft"
1610,"920hard/-19460soft"
1621,"940hard/-19700soft"
1623,"940hard/-19580soft"
1630,"940hard/-19480soft"
1632,"940hard/-19400soft"
1635,"940hard/-19280soft"
1638,"940hard/-19160soft"
1639,"940hard/-19080soft"
1640,"940hard/-18980soft"
1665,"960hard/-19580soft"
1671,"960hard/-19420soft"
1675,"960hard/-19300soft"
1703,"960hard/-19180soft"
1718,"980hard/-19640soft"
1720,"980hard/-19560soft"
1722,"980hard/-19480soft"
1735,"980hard/-19380soft"
1737,"1000hard/-19740soft"
1741,"1000hard/-19720soft"
1743,"1000hard/-19640soft"
1743,"1000hard/-19520soft"
1744,"1000hard/-19420soft"
1751,"1000hard/-19340soft"
1755,"1020hard/-19700soft"
1757,"1020hard/-19620soft"
1758,"1020hard/-19580soft"
1762,"1020hard/-19540soft"
1765,"1020hard/-19460soft"
1771,"1020hard/-19340soft"
1776,"1040hard/-19580soft"
1783,"1060hard/-19860soft"
1808,"1060hard/-19800soft"
1809,"1060hard/-19720soft"
1824,"1060hard/-19620soft"
1844,"1060hard/-19500soft"
1846,"1060hard/-19400soft"
1853,"1060hard/-19320soft"
1892,"1080hard/-20040soft"
1893,"1080hard/-20000soft"
1902,"1100hard/-20240soft"
1906,"1100hard/-20140soft"
1908,"1100hard/-20060soft"
1915,"1100hard/-19960soft"
1916,"1100hard/-19800soft"
1930,"1100hard/-19780soft"
1930,"1100hard/-19740soft"
1934,"1120hard/-20100soft"
1935,"1140hard/-20300soft"
1939,"1140hard/-20180soft"
1944,"1140hard/-20140soft"
1945,"1160hard/-20380soft"
1961,"1160hard/-20260soft"
2031,"1180hard/-20980soft"
2038,"1180hard/-20940soft"
2059,"1180hard/-20900soft"
2088,"1180hard/-20880soft"
2092,"1180hard/-20840soft"
2102,"1180hard/-20800soft"
2111,"1180hard/-20640soft"
2112,"1180hard/-20560soft"
2127,"1180hard/-20520soft"
2138,"1180hard/-20480soft"
2148,"1180hard/-20440soft"
2153,"1180hard/-20380soft"
