"timeMillisSpent","score"
473,"620hard/-20340soft"
494,"620hard/-20260soft"
496,"640hard/-20700soft"
512,"660hard/-24740soft"
514,"660hard/-24660soft"
514,"660hard/-24540soft"
516,"660hard/-24460soft"
516,"660hard/-24340soft"
517,"680hard/-25160soft"
518,"680hard/-25000soft"
522,"700hard/-25500soft"
523,"700hard/-25260soft"
523,"700hard/-25140soft"
524,"700hard/-25120soft"
526,"700hard/-24960soft"
536,"720hard/-26120soft"
540,"740hard/-27000soft"
540,"760hard/-27360soft"
542,"760hard/-27260soft"
545,"760hard/-27220soft"
545,"760hard/-27100soft"
545,"760hard/-26860soft"
545,"760hard/-26840soft"
560,"780hard/-27500soft"
561,"780hard/-27460soft"
561,"780hard/-27340soft"
563,"780hard/-27240soft"
563,"780hard/-27160soft"
565,"780hard/-27140soft"
566,"780hard/-27040soft"
566,"780hard/-26920soft"
579,"780hard/-26860soft"
579,"780hard/-26820soft"
580,"780hard/-26740soft"
580,"780hard/-26620soft"
583,"800hard/-27380soft"
584,"800hard/-27180soft"
584,"800hard/-27140soft"
584,"800hard/-27020soft"
586,"820hard/-27200soft"
593,"840hard/-28120soft"
595,"860hard/-28560soft"
595,"860hard/-28440soft"
596,"860hard/-28340soft"
596,"860hard/-28240soft"
597,"860hard/-28140soft"
597,"860hard/-28060soft"
606,"880hard/-29180soft"
690,"900hard/-31520soft"
690,"900hard/-31420soft"
692,"900hard/-31400soft"
696,"920hard/-32440soft"
696,"920hard/-32320soft"
699,"920hard/-32280soft"
699,"920hard/-32040soft"
699,"920hard/-31920soft"
699,"920hard/-31820soft"
700,"920hard/-31740soft"
702,"920hard/-31600soft"
703,"920hard/-31560soft"
703,"920hard/-31460soft"
703,"920hard/-31380soft"
704,"920hard/-31280soft"
704,"920hard/-31040soft"
742,"940hard/-31900soft"
745,"1040hard/-32640soft"
745,"1040hard/-32520soft"
782,"1060hard/-32480soft"
786,"1060hard/-32400soft"
817,"1060hard/-31820soft"
842,"1080hard/-31640soft"
958,"1100hard/-31160soft"
958,"1100hard/-31080soft"
959,"1100hard/-31060soft"
1165,"1120hard/-32800soft"
1165,"1120hard/-32700soft"
1166,"1120hard/-32620soft"
1166,"1120hard/-32540soft"
1167,"1120hard/-32380soft"
1167,"1120hard/-32240soft"
1257,"1140hard/-33540soft"
1257,"1140hard/-33440soft"
1257,"1140hard/-33360soft"
1257,"1140hard/-33240soft"
1258,"1140hard/-33220soft"
1617,"1140hard/-32420soft"
1618,"1140hard/-32300soft"
1619,"1140hard/-32280soft"
1619,"1140hard/-32160soft"
1631,"1140hard/-32140soft"
1635,"1140hard/-32060soft"
1635,"1160hard/-32340soft"
1690,"1180hard/-33480soft"
1693,"1180hard/-33380soft"
1693,"1180hard/-33360soft"
1693,"1180hard/-33240soft"
1694,"1180hard/-33080soft"
1694,"1180hard/-32960soft"
1694,"1180hard/-32880soft"
1746,"1280hard/-33560soft"
1746,"1280hard/-33480soft"
1817,"1280hard/-32780soft"
1819,"1280hard/-32680soft"
1819,"1280hard/-32560soft"
1933,"1300hard/-34520soft"
2008,"1300hard/-33100soft"
2463,"1300hard/-33040soft"
2478,"1300hard/-32960soft"
2491,"1300hard/-32740soft"
2492,"1300hard/-32680soft"
2497,"1300hard/-32660soft"
2518,"1300hard/-32500soft"
2518,"1300hard/-32380soft"
2518,"1300hard/-32260soft"
2519,"1300hard/-32120soft"
2520,"1300hard/-31840soft"
2740,"1300hard/-31800soft"
2740,"1300hard/-31700soft"
2740,"1300hard/-31660soft"
2756,"1320hard/-32520soft"
2842,"1340hard/-34740soft"
2842,"1340hard/-34620soft"
2885,"1340hard/-34560soft"
2886,"1340hard/-34460soft"
2887,"1340hard/-34380soft"
2888,"1340hard/-34260soft"
2889,"1340hard/-33940soft"
2889,"1340hard/-33900soft"
2890,"1340hard/-33700soft"
