"timeMillisSpent","score"
1885,"620hard/-20340soft"
2073,"620hard/-20100soft"
2199,"620hard/-19780soft"
2375,"620hard/-19460soft"
2525,"620hard/-19340soft"
2663,"620hard/-19180soft"
2788,"640hard/-19660soft"
2911,"640hard/-19520soft"
3034,"640hard/-19360soft"
3153,"640hard/-19200soft"
3274,"660hard/-19520soft"
3405,"660hard/-19400soft"
3583,"680hard/-19640soft"
3697,"680hard/-19500soft"
3807,"680hard/-19380soft"
3889,"680hard/-19180soft"
3962,"700hard/-19420soft"
4036,"700hard/-19260soft"
4086,"700hard/-19140soft"
4144,"700hard/-19020soft"
4198,"720hard/-19380soft"
4269,"720hard/-19220soft"
4318,"720hard/-19100soft"
4388,"740hard/-19580soft"
4461,"740hard/-19420soft"
4509,"740hard/-19300soft"
4558,"740hard/-19140soft"
4618,"760hard/-19620soft"
4668,"760hard/-19500soft"
4716,"760hard/-19340soft"
4764,"760hard/-19220soft"
4818,"780hard/-19580soft"
4864,"800hard/-20060soft"
4918,"820hard/-20300soft"
4970,"820hard/-20180soft"
5024,"840hard/-20540soft"
5095,"840hard/-20420soft"
5153,"860hard/-20780soft"
5219,"860hard/-20620soft"
5276,"860hard/-20500soft"
5334,"860hard/-20380soft"
5408,"860hard/-20260soft"
5466,"860hard/-20140soft"
5524,"860hard/-20020soft"
5594,"860hard/-19860soft"
5646,"880hard/-20100soft"
5690,"880hard/-19980soft"
5737,"880hard/-19860soft"
5789,"900hard/-20340soft"
5838,"900hard/-20180soft"
5902,"900hard/-20060soft"
5950,"900hard/-19860soft"
6011,"900hard/-19740soft"
6073,"900hard/-19540soft"
6129,"920hard/-19780soft"
6195,"920hard/-19660soft"
6242,"920hard/-19540soft"
6291,"920hard/-19420soft"
6348,"920hard/-19300soft"
6397,"920hard/-19180soft"
6445,"940hard/-19540soft"
6495,"940hard/-19420soft"
6551,"960hard/-19780soft"
6605,"980hard/-20140soft"
6663,"980hard/-19980soft"
6709,"980hard/-19780soft"
6755,"980hard/-19660soft"
6803,"1000hard/-20020soft"
6854,"1000hard/-19900soft"
6908,"1000hard/-19780soft"
6958,"1000hard/-19660soft"
7006,"1000hard/-19540soft"
7050,"1020hard/-19900soft"
7110,"1020hard/-19780soft"
7155,"1040hard/-20140soft"
7206,"1060hard/-20500soft"
7259,"1060hard/-20380soft"
7306,"1060hard/-20260soft"
7354,"1060hard/-20140soft"
7401,"1080hard/-20500soft"
7459,"1080hard/-20380soft"
7511,"1080hard/-20260soft"
7559,"1080hard/-20180soft"
7607,"1080hard/-20060soft"
7661,"1080hard/-19960soft"
7708,"1080hard/-19840soft"
7756,"1080hard/-19720soft"
7812,"1100hard/-20080soft"
7860,"1100hard/-19960soft"
7914,"1120hard/-20320soft"
